inf,1.559847092953305109e+05,1.919790881340342094e+04,1.676633193506053431e+04,2.270706954334203328e+04,5.188663138047842222e+04,2.895380715542775943e+04,6.501703730233025271e+04,6.262639454238376493e+04,6.175092154787950130e+04
inf,4.388342080693971366e+04,1.671672970703075771e+04,1.352733327537369587e+04,1.743893345628902171e+04,2.328031633677387072e+04,1.451384315745891945e+04,1.878346666100126095e+04,1.978518648814441258e+04,1.952233385662672299e+04
inf,2.509210016837702278e+04,1.609426644564708295e+04,1.285205876483078282e+04,1.575124093879339307e+04,1.790706003144757415e+04,1.206298944051120452e+04,1.313095911307927781e+04,1.365399445089848086e+04,1.361228868864232209e+04
inf,2.078341298498993274e+04,1.572967882329500389e+04,1.255887458459678965e+04,1.499080621592020725e+04,1.587174178101927100e+04,1.110111411066398796e+04,1.120765245071982827e+04,1.167178052458146885e+04,1.148639543634188522e+04
inf,2.392725923278319533e+04,1.612379310136878303e+04,1.222368668316976436e+04,1.431997684641724300e+04,1.462184652210682907e+04,1.074435094316793948e+04,1.048960373924397572e+04,1.104656554598132425e+04,1.065016123000633524e+04
inf,2.849411057405965403e+04,1.608873715065386205e+04,1.221553260125082488e+04,1.412893800375620231e+04,1.437964768176402504e+04,1.075162410800592988e+04,9.974531187289972877e+03,1.021213334845056670e+04,1.001608032550727876e+04
inf,4.692519811747190397e+04,1.699712407335291937e+04,1.288279236906551523e+04,1.445640516764287531e+04,1.407066932268403798e+04,1.094232749892875836e+04,9.641355189702100688e+03,1.026902772539335638e+04,1.000637951572081874e+04
inf,7.055707773691539478e+04,1.754126146928132584e+04,1.270735819843617719e+04,1.445712977179169502e+04,1.431404876428304669e+04,1.087198036448705898e+04,9.785613199681158221e+03,9.970752433245741486e+03,9.737441503329899206e+03
inf,9.202699465920071816e+04,1.760472077447759511e+04,1.309959227693777029e+04,1.460052879665990440e+04,1.406291960158595612e+04,1.068180504475249654e+04,9.531615285928875892e+03,1.016287945308402959e+04,9.953182898005361494e+03
inf,2.095907076350909483e+05,1.858583291762768931e+04,1.360008292772715504e+04,1.444116829422452975e+04,1.423472592693759179e+04,1.120478817122844339e+04,9.664046438542602118e+03,9.894636681868176311e+03,1.010781980862703676e+04
