inf,inf,inf,3.216471015064342646e+04,inf,3.410038362603987008e+07
inf,inf,inf,2.383346289980010260e+04,inf,3.378557185106660426e+07
inf,inf,inf,1.207268718096082921e+04,inf,3.356465455706880242e+07
8.761292626087453961e+07,inf,inf,2.670392054938689762e+04,inf,3.375178703798676282e+07
inf,inf,inf,1.546519453687565692e+04,inf,3.331625493051400781e+07
8.272969314241525717e+05,inf,inf,2.129147544240775096e+04,1.699726382054323852e+08,3.322848569688187912e+07
2.005009566525567498e+05,inf,inf,1.342220169252706000e+04,inf,3.303953393403116614e+07
7.126302491132772411e+04,inf,inf,2.059941579239655766e+04,1.525409299695206583e+08,3.280057900544681773e+07
4.065402847558872600e+04,inf,inf,1.917006371317560115e+04,inf,3.279479380211664364e+07
2.638045799830604665e+04,inf,inf,1.963303886273982062e+04,1.356366764632905722e+08,3.271915267593262345e+07
