1.809214879775189038e+05,9.226331382043006670e+03,7.534569180763061013e+03,6.152491634256074576e+03,5.808200925834476948e+03,5.485328477895810465e+03,5.051668617290409202e+03,4.882299727378004718e+03,4.865179043121096583e+03,4.779309843906264177e+03
2.649229250112053123e+05,9.794030585265323680e+03,8.318309919769735643e+03,6.887321865463515678e+03,6.465311791779963642e+03,6.146073152348183612e+03,5.502777207401803935e+03,5.103565632507215923e+03,5.128412714488747042e+03,4.967026122005445359e+03
3.678898192635494052e+05,1.111412807709979279e+04,8.948126197688563479e+03,7.457587372865512407e+03,7.024382469225490240e+03,6.855673969128508361e+03,5.982929730058099267e+03,5.375439403127099467e+03,5.406472254460202748e+03,5.207825008520203482e+03
4.635855623379289173e+05,1.269924458021101418e+04,9.523073223489214797e+03,8.036900848039588709e+03,7.513497935201755354e+03,7.246416947376820644e+03,6.466346823165828027e+03,5.641670046336952510e+03,5.694340524039843331e+03,5.458917177606988844e+03
5.579786482721159700e+05,1.463545907987837381e+04,1.008433846466295836e+04,8.800099661035974350e+03,8.002566010569286846e+03,7.836132259527513270e+03,6.995907550229191656e+03,5.885783648228682978e+03,5.929439516041665229e+03,5.665727653556381483e+03
6.418359519993508002e+05,1.676516071375434331e+04,1.069089273135074291e+04,9.545780702854832271e+03,8.513710353535061586e+03,8.261688145263691695e+03,7.424402243731257840e+03,6.156523521901461208e+03,6.145380983158018353e+03,5.900562072508287201e+03
7.372575980038766284e+05,1.914409999385709671e+04,1.143673368269735693e+04,1.008114679318538583e+04,9.108179065051503130e+03,8.753138159659354642e+03,7.874914991123861000e+03,6.405367051380308112e+03,6.448346831695489527e+03,6.178853241249067651e+03
7.986661783475896809e+05,2.113638225978325136e+04,1.212205041089236511e+04,1.098177927779533275e+04,9.640839788645456792e+03,9.375424267643767962e+03,8.195850767351008471e+03,6.719767290851444159e+03,6.671243722387982416e+03,6.402619428427232378e+03
8.733442026264846791e+05,2.372494331115518798e+04,1.277981979141734519e+04,1.176470811298098124e+04,1.026172849714120821e+04,9.848192941165505545e+03,8.801373412879303942e+03,6.980647909034106306e+03,6.910514142289231131e+03,6.610941805737009417e+03
9.607447543287898879e+05,2.589940058400256748e+04,1.368446930256599444e+04,1.243093332735233162e+04,1.075291548970338590e+04,1.033109492313177543e+04,9.165212126126705698e+03,7.192107852854889643e+03,7.177636156969844706e+03,6.881216465297303330e+03
